GO.ID	UNIgene	V3
1	GO:1902653	Nk52_evm10s307	secondary alcohol biosynthetic process
2	GO:1902653	Nk52_evm11s2273	secondary alcohol biosynthetic process
3	GO:1902653	Nk52_evm12s621	secondary alcohol biosynthetic process
4	GO:1902653	Nk52_evm18s1524	secondary alcohol biosynthetic process
5	GO:1902653	Nk52_evm1s254	secondary alcohol biosynthetic process
6	GO:1902653	Nk52_evm21s147	secondary alcohol biosynthetic process
7	GO:1902653	Nk52_evm25s233	secondary alcohol biosynthetic process
8	GO:1902653	Nk52_evm2s219	secondary alcohol biosynthetic process
9	GO:1902653	Nk52_evm3s704	secondary alcohol biosynthetic process
10	GO:1902653	Nk52_evm40s78	secondary alcohol biosynthetic process
11	GO:1902653	Nk52_evm41s292	secondary alcohol biosynthetic process
12	GO:1902653	Nk52_evm47s62	secondary alcohol biosynthetic process
13	GO:1902653	Nk52_evm51s2039	secondary alcohol biosynthetic process
14	GO:1902653	Nk52_evm73s210	secondary alcohol biosynthetic process
15	GO:1902653	Nk52_evm76s151	secondary alcohol biosynthetic process
16	GO:1902653	Nk52_evm87s226	secondary alcohol biosynthetic process
17	GO:1902653	Nk52_evm88s1737	secondary alcohol biosynthetic process
18	GO:0016126	Nk52_evm10s307	sterol biosynthetic process
19	GO:0016126	Nk52_evm11s2273	sterol biosynthetic process
20	GO:0016126	Nk52_evm12s621	sterol biosynthetic process
21	GO:0016126	Nk52_evm18s1524	sterol biosynthetic process
22	GO:0016126	Nk52_evm1s254	sterol biosynthetic process
23	GO:0016126	Nk52_evm1s876	sterol biosynthetic process
24	GO:0016126	Nk52_evm21s147	sterol biosynthetic process
25	GO:0016126	Nk52_evm25s233	sterol biosynthetic process
26	GO:0016126	Nk52_evm2s219	sterol biosynthetic process
27	GO:0016126	Nk52_evm3s704	sterol biosynthetic process
28	GO:0016126	Nk52_evm40s78	sterol biosynthetic process
29	GO:0016126	Nk52_evm41s292	sterol biosynthetic process
30	GO:0016126	Nk52_evm47s62	sterol biosynthetic process
31	GO:0016126	Nk52_evm51s2039	sterol biosynthetic process
32	GO:0016126	Nk52_evm73s210	sterol biosynthetic process
33	GO:0016126	Nk52_evm76s151	sterol biosynthetic process
34	GO:0016126	Nk52_evm78s223	sterol biosynthetic process
