GO.ID	UNIgene	V3
1	GO:0051301	Nk52_evm101s352	cell division
2	GO:0051301	Nk52_evm12s359	cell division
3	GO:0051301	Nk52_evm14s2635	cell division
4	GO:0051301	Nk52_evm14s267	cell division
5	GO:0051301	Nk52_evm14s295	cell division
6	GO:0051301	Nk52_evm14s327	cell division
7	GO:0051301	Nk52_evm15s243	cell division
8	GO:0051301	Nk52_evm15s260	cell division
9	GO:0051301	Nk52_evm15s295	cell division
10	GO:0051301	Nk52_evm15s913	cell division
11	GO:0051301	Nk52_evm16s1073	cell division
12	GO:0051301	Nk52_evm16s136	cell division
13	GO:0051301	Nk52_evm16s2241	cell division
14	GO:0051301	Nk52_evm18s238	cell division
15	GO:0051301	Nk52_evm19s228	cell division
16	GO:0051301	Nk52_evm19s284	cell division
17	GO:0051301	Nk52_evm1s1962	cell division
18	GO:0051301	Nk52_evm1s2041	cell division
19	GO:0051301	Nk52_evm1s2514	cell division
20	GO:0051301	Nk52_evm1s333	cell division
21	GO:0051301	Nk52_evm1s692	cell division
22	GO:0051301	Nk52_evm20s212	cell division
23	GO:0051301	Nk52_evm20s272	cell division
24	GO:0051301	Nk52_evm21s156	cell division
25	GO:0051301	Nk52_evm21s270	cell division
26	GO:0051301	Nk52_evm21s675	cell division
27	GO:0051301	Nk52_evm22s2133	cell division
28	GO:0051301	Nk52_evm22s2325	cell division
29	GO:0051301	Nk52_evm22s2568	cell division
30	GO:0051301	Nk52_evm26s223	cell division
31	GO:0051301	Nk52_evm26s279	cell division
32	GO:0051301	Nk52_evm26s805	cell division
33	GO:0051301	Nk52_evm28s222	cell division
34	GO:0051301	Nk52_evm29s1992	cell division
35	GO:0051301	Nk52_evm2s156	cell division
36	GO:0051301	Nk52_evm30s317	cell division
37	GO:0051301	Nk52_evm31s2568	cell division
38	GO:0051301	Nk52_evm32s223	cell division
39	GO:0051301	Nk52_evm35s967	cell division
40	GO:0051301	Nk52_evm36s230	cell division
41	GO:0051301	Nk52_evm36s2657	cell division
42	GO:0051301	Nk52_evm38s255	cell division
43	GO:0051301	Nk52_evm3s683	cell division
44	GO:0051301	Nk52_evm45s279	cell division
45	GO:0051301	Nk52_evm47s1073	cell division
46	GO:0051301	Nk52_evm47s153	cell division
47	GO:0051301	Nk52_evm4s238	cell division
48	GO:0051301	Nk52_evm4s323	cell division
49	GO:0051301	Nk52_evm4s539	cell division
50	GO:0051301	Nk52_evm50s352	cell division
51	GO:0051301	Nk52_evm53s32	cell division
52	GO:0051301	Nk52_evm55s224	cell division
53	GO:0051301	Nk52_evm55s266	cell division
54	GO:0051301	Nk52_evm58s2192	cell division
55	GO:0051301	Nk52_evm5s39	cell division
56	GO:0051301	Nk52_evm64s152	cell division
57	GO:0051301	Nk52_evm69s2192	cell division
58	GO:0051301	Nk52_evm6s16	cell division
59	GO:0051301	Nk52_evm6s163	cell division
60	GO:0051301	Nk52_evm6s39	cell division
61	GO:0051301	Nk52_evm70s2192	cell division
62	GO:0051301	Nk52_evm70s914	cell division
63	GO:0051301	Nk52_evm72s352	cell division
64	GO:0051301	Nk52_evm76s1810	cell division
65	GO:0051301	Nk52_evm78s62	cell division
66	GO:0051301	Nk52_evm79s1992	cell division
67	GO:0051301	Nk52_evm83s914	cell division
68	GO:0051301	Nk52_evm84s1444	cell division
69	GO:0051301	Nk52_evm84s164	cell division
70	GO:0051301	Nk52_evm8s155	cell division
71	GO:0051301	Nk52_evm8s1671	cell division
72	GO:0051301	Nk52_evm8s349	cell division
73	GO:0051301	Nk52_evm94s217	cell division
74	GO:0051301	Nk52_evm95s208	cell division
75	GO:0051301	Nk52_evm9s2579	cell division
76	GO:0007091	Nk52_evm101s352	metaphase/anaphase transition of mitotic cell cycle
77	GO:0007091	Nk52_evm15s243	metaphase/anaphase transition of mitotic cell cycle
78	GO:0007091	Nk52_evm15s295	metaphase/anaphase transition of mitotic cell cycle
79	GO:0007091	Nk52_evm16s1073	metaphase/anaphase transition of mitotic cell cycle
80	GO:0007091	Nk52_evm16s2241	metaphase/anaphase transition of mitotic cell cycle
81	GO:0007091	Nk52_evm19s228	metaphase/anaphase transition of mitotic cell cycle
82	GO:0007091	Nk52_evm1s333	metaphase/anaphase transition of mitotic cell cycle
83	GO:0007091	Nk52_evm23s249	metaphase/anaphase transition of mitotic cell cycle
84	GO:0007091	Nk52_evm29s1992	metaphase/anaphase transition of mitotic cell cycle
85	GO:0007091	Nk52_evm2s156	metaphase/anaphase transition of mitotic cell cycle
86	GO:0007091	Nk52_evm5s39	metaphase/anaphase transition of mitotic cell cycle
87	GO:0007091	Nk52_evm61s207	metaphase/anaphase transition of mitotic cell cycle
88	GO:0007091	Nk52_evm70s914	metaphase/anaphase transition of mitotic cell cycle
89	GO:0007091	Nk52_evm95s208	metaphase/anaphase transition of mitotic cell cycle
90	GO:0007091	Nk52_evm9s1401	metaphase/anaphase transition of mitotic cell cycle
91	GO:0007049	Nk52_evm101s352	cell cycle
92	GO:0007049	Nk52_evm10s309	cell cycle
93	GO:0007049	Nk52_evm11s2391	cell cycle
94	GO:0007049	Nk52_evm120s352	cell cycle
95	GO:0007049	Nk52_evm126s226	cell cycle
96	GO:0007049	Nk52_evm12s2133	cell cycle
97	GO:0007049	Nk52_evm12s2171	cell cycle
98	GO:0007049	Nk52_evm12s359	cell cycle
99	GO:0007049	Nk52_evm13s153	cell cycle
100	GO:0007049	Nk52_evm13s32	cell cycle
101	GO:0007049	Nk52_evm13s352	cell cycle
102	GO:0007049	Nk52_evm14s2635	cell cycle
103	GO:0007049	Nk52_evm14s267	cell cycle
104	GO:0007049	Nk52_evm14s271	cell cycle
105	GO:0007049	Nk52_evm14s295	cell cycle
106	GO:0007049	Nk52_evm14s327	cell cycle
107	GO:0007049	Nk52_evm15s243	cell cycle
108	GO:0007049	Nk52_evm15s295	cell cycle
109	GO:0007049	Nk52_evm15s303	cell cycle
110	GO:0007049	Nk52_evm15s913	cell cycle
111	GO:0007049	Nk52_evm16s1073	cell cycle
112	GO:0007049	Nk52_evm16s136	cell cycle
113	GO:0007049	Nk52_evm16s163	cell cycle
114	GO:0007049	Nk52_evm16s2241	cell cycle
115	GO:0007049	Nk52_evm17s272	cell cycle
116	GO:0007049	Nk52_evm18s1444	cell cycle
117	GO:0007049	Nk52_evm18s238	cell cycle
118	GO:0007049	Nk52_evm19s228	cell cycle
119	GO:0007049	Nk52_evm19s284	cell cycle
120	GO:0007049	Nk52_evm1s1647	cell cycle
121	GO:0007049	Nk52_evm1s1745	cell cycle
122	GO:0007049	Nk52_evm1s1962	cell cycle
123	GO:0007049	Nk52_evm1s2041	cell cycle
124	GO:0007049	Nk52_evm1s2514	cell cycle
125	GO:0007049	Nk52_evm1s298	cell cycle
126	GO:0007049	Nk52_evm1s333	cell cycle
127	GO:0007049	Nk52_evm1s589	cell cycle
128	GO:0007049	Nk52_evm1s692	cell cycle
129	GO:0007049	Nk52_evm20s212	cell cycle
130	GO:0007049	Nk52_evm20s2612	cell cycle
131	GO:0007049	Nk52_evm20s272	cell cycle
132	GO:0007049	Nk52_evm21s156	cell cycle
133	GO:0007049	Nk52_evm21s270	cell cycle
134	GO:0007049	Nk52_evm21s675	cell cycle
135	GO:0007049	Nk52_evm22s2133	cell cycle
136	GO:0007049	Nk52_evm22s2325	cell cycle
137	GO:0007049	Nk52_evm22s2568	cell cycle
138	GO:0007049	Nk52_evm22s559	cell cycle
139	GO:0007049	Nk52_evm23s224	cell cycle
140	GO:0007049	Nk52_evm23s249	cell cycle
141	GO:0007049	Nk52_evm23s490	cell cycle
142	GO:0007049	Nk52_evm25s311	cell cycle
143	GO:0007049	Nk52_evm26s223	cell cycle
144	GO:0007049	Nk52_evm26s279	cell cycle
145	GO:0007049	Nk52_evm26s805	cell cycle
146	GO:0007049	Nk52_evm28s1992	cell cycle
147	GO:0007049	Nk52_evm28s221	cell cycle
148	GO:0007049	Nk52_evm28s222	cell cycle
149	GO:0007049	Nk52_evm29s1992	cell cycle
150	GO:0007049	Nk52_evm2s156	cell cycle
151	GO:0007049	Nk52_evm2s1810	cell cycle
152	GO:0007049	Nk52_evm2s255	cell cycle
153	GO:0007049	Nk52_evm2s343	cell cycle
154	GO:0007049	Nk52_evm30s2309	cell cycle
155	GO:0007049	Nk52_evm30s317	cell cycle
156	GO:0007049	Nk52_evm30s370	cell cycle
157	GO:0007049	Nk52_evm31s207	cell cycle
158	GO:0007049	Nk52_evm31s233	cell cycle
159	GO:0007049	Nk52_evm31s2568	cell cycle
160	GO:0007049	Nk52_evm32s1967	cell cycle
161	GO:0007049	Nk52_evm32s223	cell cycle
162	GO:0007049	Nk52_evm33s1810	cell cycle
163	GO:0007049	Nk52_evm33s295	cell cycle
164	GO:0007049	Nk52_evm34s232	cell cycle
165	GO:0007049	Nk52_evm34s2474	cell cycle
166	GO:0007049	Nk52_evm34s2506	cell cycle
167	GO:0007049	Nk52_evm35s292	cell cycle
168	GO:0007049	Nk52_evm35s745	cell cycle
169	GO:0007049	Nk52_evm35s967	cell cycle
170	GO:0007049	Nk52_evm36s230	cell cycle
171	GO:0007049	Nk52_evm36s2657	cell cycle
172	GO:0007049	Nk52_evm38s255	cell cycle
173	GO:0007049	Nk52_evm39s222	cell cycle
174	GO:0007049	Nk52_evm3s683	cell cycle
175	GO:0007049	Nk52_evm42s296	cell cycle
176	GO:0007049	Nk52_evm45s252	cell cycle
177	GO:0007049	Nk52_evm45s279	cell cycle
178	GO:0007049	Nk52_evm46s2118	cell cycle
179	GO:0007049	Nk52_evm47s1073	cell cycle
180	GO:0007049	Nk52_evm47s153	cell cycle
181	GO:0007049	Nk52_evm4s238	cell cycle
182	GO:0007049	Nk52_evm4s2514	cell cycle
183	GO:0007049	Nk52_evm4s323	cell cycle
184	GO:0007049	Nk52_evm4s539	cell cycle
185	GO:0007049	Nk52_evm50s352	cell cycle
186	GO:0007049	Nk52_evm51s224	cell cycle
187	GO:0007049	Nk52_evm52s1810	cell cycle
188	GO:0007049	Nk52_evm53s32	cell cycle
189	GO:0007049	Nk52_evm54s270	cell cycle
190	GO:0007049	Nk52_evm55s224	cell cycle
191	GO:0007049	Nk52_evm55s226	cell cycle
192	GO:0007049	Nk52_evm55s266	cell cycle
193	GO:0007049	Nk52_evm58s2192	cell cycle
194	GO:0007049	Nk52_evm59s2118	cell cycle
195	GO:0007049	Nk52_evm59s32	cell cycle
196	GO:0007049	Nk52_evm5s158	cell cycle
197	GO:0007049	Nk52_evm5s369	cell cycle
198	GO:0007049	Nk52_evm5s39	cell cycle
199	GO:0007049	Nk52_evm61s207	cell cycle
200	GO:0007049	Nk52_evm64s152	cell cycle
201	GO:0007049	Nk52_evm69s2192	cell cycle
202	GO:0007049	Nk52_evm6s16	cell cycle
203	GO:0007049	Nk52_evm6s163	cell cycle
204	GO:0007049	Nk52_evm6s210	cell cycle
205	GO:0007049	Nk52_evm6s2542	cell cycle
206	GO:0007049	Nk52_evm6s39	cell cycle
207	GO:0007049	Nk52_evm70s2192	cell cycle
208	GO:0007049	Nk52_evm70s914	cell cycle
209	GO:0007049	Nk52_evm72s352	cell cycle
210	GO:0007049	Nk52_evm75s914	cell cycle
211	GO:0007049	Nk52_evm76s1810	cell cycle
212	GO:0007049	Nk52_evm77s2367	cell cycle
213	GO:0007049	Nk52_evm78s62	cell cycle
214	GO:0007049	Nk52_evm79s1992	cell cycle
215	GO:0007049	Nk52_evm79s210	cell cycle
216	GO:0007049	Nk52_evm83s914	cell cycle
217	GO:0007049	Nk52_evm84s1444	cell cycle
218	GO:0007049	Nk52_evm84s164	cell cycle
219	GO:0007049	Nk52_evm8s155	cell cycle
220	GO:0007049	Nk52_evm8s1671	cell cycle
221	GO:0007049	Nk52_evm91s1737	cell cycle
222	GO:0007049	Nk52_evm95s208	cell cycle
223	GO:0007049	Nk52_evm9s1401	cell cycle
224	GO:0007049	Nk52_evm9s2579	cell cycle
225	GO:0032508	Nk52_evm12s2133	DNA duplex unwinding
226	GO:0032508	Nk52_evm17s224	DNA duplex unwinding
227	GO:0032508	Nk52_evm1s2626	DNA duplex unwinding
228	GO:0032508	Nk52_evm1s510	DNA duplex unwinding
229	GO:0032508	Nk52_evm27s224	DNA duplex unwinding
230	GO:0032508	Nk52_evm28s1992	DNA duplex unwinding
231	GO:0032508	Nk52_evm28s221	DNA duplex unwinding
232	GO:0032508	Nk52_evm31s233	DNA duplex unwinding
233	GO:0032508	Nk52_evm33s96	DNA duplex unwinding
234	GO:0032508	Nk52_evm34s2506	DNA duplex unwinding
235	GO:0032508	Nk52_evm39s222	DNA duplex unwinding
236	GO:0032508	Nk52_evm45s236	DNA duplex unwinding
237	GO:0032508	Nk52_evm58s2192	DNA duplex unwinding
238	GO:0032508	Nk52_evm75s914	DNA duplex unwinding
239	GO:0032508	Nk52_evm77s2367	DNA duplex unwinding
240	GO:0032508	Nk52_evm8s310	DNA duplex unwinding
241	GO:0006302	Nk52_evm126s226	double-strand break repair
242	GO:0006302	Nk52_evm12s2133	double-strand break repair
243	GO:0006302	Nk52_evm14s327	double-strand break repair
244	GO:0006302	Nk52_evm15s303	double-strand break repair
245	GO:0006302	Nk52_evm18s1444	double-strand break repair
246	GO:0006302	Nk52_evm18s238	double-strand break repair
247	GO:0006302	Nk52_evm22s270	double-strand break repair
248	GO:0006302	Nk52_evm22s913	double-strand break repair
249	GO:0006302	Nk52_evm23s249	double-strand break repair
250	GO:0006302	Nk52_evm23s490	double-strand break repair
251	GO:0006302	Nk52_evm24s252	double-strand break repair
252	GO:0006302	Nk52_evm26s279	double-strand break repair
253	GO:0006302	Nk52_evm27s224	double-strand break repair
254	GO:0006302	Nk52_evm28s1992	double-strand break repair
255	GO:0006302	Nk52_evm30s370	double-strand break repair
256	GO:0006302	Nk52_evm39s222	double-strand break repair
257	GO:0006302	Nk52_evm45s236	double-strand break repair
258	GO:0006302	Nk52_evm45s32	double-strand break repair
259	GO:0006302	Nk52_evm51s224	double-strand break repair
260	GO:0006302	Nk52_evm54s270	double-strand break repair
261	GO:0006302	Nk52_evm59s2118	double-strand break repair
262	GO:0006302	Nk52_evm59s32	double-strand break repair
263	GO:0006302	Nk52_evm5s158	double-strand break repair
264	GO:0006302	Nk52_evm61s207	double-strand break repair
265	GO:0006302	Nk52_evm77s2367	double-strand break repair
266	GO:0006302	Nk52_evm80s270	double-strand break repair
267	GO:0006302	Nk52_evm8s155	double-strand break repair
268	GO:0006302	Nk52_evm95s208	double-strand break repair
269	GO:0030261	Nk52_evm14s295	chromosome condensation
270	GO:0030261	Nk52_evm26s279	chromosome condensation
271	GO:0030261	Nk52_evm30s317	chromosome condensation
272	GO:0030261	Nk52_evm46s2118	chromosome condensation
273	GO:0030261	Nk52_evm4s2514	chromosome condensation
274	GO:0030261	Nk52_evm55s224	chromosome condensation
275	GO:0030261	Nk52_evm58s2192	chromosome condensation
276	GO:0030261	Nk52_evm64s152	chromosome condensation
277	GO:0030261	Nk52_evm6s39	chromosome condensation
278	GO:0030261	Nk52_evm8s1671	chromosome condensation
279	GO:0031145	Nk52_evm101s352	anaphase-promoting complex-dependent catabolic process
280	GO:0031145	Nk52_evm15s243	anaphase-promoting complex-dependent catabolic process
281	GO:0031145	Nk52_evm15s295	anaphase-promoting complex-dependent catabolic process
282	GO:0031145	Nk52_evm16s2241	anaphase-promoting complex-dependent catabolic process
283	GO:0031145	Nk52_evm1s333	anaphase-promoting complex-dependent catabolic process
284	GO:0031145	Nk52_evm29s1992	anaphase-promoting complex-dependent catabolic process
285	GO:0031145	Nk52_evm2s156	anaphase-promoting complex-dependent catabolic process
286	GO:0031145	Nk52_evm6s163	anaphase-promoting complex-dependent catabolic process
287	GO:0006270	Nk52_evm15s223	DNA replication initiation
288	GO:0006270	Nk52_evm15s303	DNA replication initiation
289	GO:0006270	Nk52_evm23s224	DNA replication initiation
290	GO:0006270	Nk52_evm26s279	DNA replication initiation
291	GO:0006270	Nk52_evm28s1992	DNA replication initiation
292	GO:0006270	Nk52_evm28s221	DNA replication initiation
293	GO:0006270	Nk52_evm34s2506	DNA replication initiation
294	GO:0006270	Nk52_evm35s745	DNA replication initiation
295	GO:0006270	Nk52_evm46s2118	DNA replication initiation
296	GO:0006270	Nk52_evm59s32	DNA replication initiation
297	GO:0006270	Nk52_evm70s914	DNA replication initiation
298	GO:0006270	Nk52_evm75s914	DNA replication initiation
299	GO:0006270	Nk52_evm77s2367	DNA replication initiation
300	GO:0065004	Nk52_evm1s1647	protein-DNA complex assembly
301	GO:0065004	Nk52_evm1s1962	protein-DNA complex assembly
302	GO:0065004	Nk52_evm1s322	protein-DNA complex assembly
303	GO:0065004	Nk52_evm22s559	protein-DNA complex assembly
304	GO:0065004	Nk52_evm23s224	protein-DNA complex assembly
305	GO:0065004	Nk52_evm23s249	protein-DNA complex assembly
306	GO:0065004	Nk52_evm26s279	protein-DNA complex assembly
307	GO:0065004	Nk52_evm28s2192	protein-DNA complex assembly
308	GO:0065004	Nk52_evm30s370	protein-DNA complex assembly
309	GO:0065004	Nk52_evm32s1967	protein-DNA complex assembly
310	GO:0065004	Nk52_evm51s745	protein-DNA complex assembly
311	GO:0065004	Nk52_evm59s32	protein-DNA complex assembly
312	GO:0065004	Nk52_evm5s272	protein-DNA complex assembly
313	GO:0065004	Nk52_evm70s62	protein-DNA complex assembly
314	GO:0065004	Nk52_evm80s270	protein-DNA complex assembly
315	GO:0065004	Nk52_evm8s1524	protein-DNA complex assembly
316	GO:0065004	Nk52_evm91s1737	protein-DNA complex assembly
317	GO:0065004	Nk52_evm9s2579	protein-DNA complex assembly
318	GO:0140013	Nk52_evm10s309	meiotic nuclear division
319	GO:0140013	Nk52_evm11s2391	meiotic nuclear division
320	GO:0140013	Nk52_evm16s1073	meiotic nuclear division
321	GO:0140013	Nk52_evm18s1444	meiotic nuclear division
322	GO:0140013	Nk52_evm1s589	meiotic nuclear division
323	GO:0140013	Nk52_evm21s270	meiotic nuclear division
324	GO:0140013	Nk52_evm30s370	meiotic nuclear division
325	GO:0140013	Nk52_evm36s2657	meiotic nuclear division
326	GO:0140013	Nk52_evm42s296	meiotic nuclear division
327	GO:0140013	Nk52_evm4s2514	meiotic nuclear division
328	GO:0140013	Nk52_evm54s270	meiotic nuclear division
329	GO:0140013	Nk52_evm55s224	meiotic nuclear division
330	GO:0140013	Nk52_evm58s2192	meiotic nuclear division
331	GO:0140013	Nk52_evm59s2118	meiotic nuclear division
332	GO:0140013	Nk52_evm6s210	meiotic nuclear division
333	GO:0140013	Nk52_evm9s2579	meiotic nuclear division
334	GO:0070979	Nk52_evm101s352	protein K11-linked ubiquitination
335	GO:0070979	Nk52_evm15s243	protein K11-linked ubiquitination
336	GO:0070979	Nk52_evm29s1992	protein K11-linked ubiquitination
337	GO:0070979	Nk52_evm2s156	protein K11-linked ubiquitination
338	GO:0070979	Nk52_evm6s163	protein K11-linked ubiquitination
339	GO:0070979	Nk52_evm91s1737	protein K11-linked ubiquitination
340	GO:0006335	Nk52_evm19s2622	DNA replication-dependent chromatin assembly
341	GO:0006335	Nk52_evm1s1647	DNA replication-dependent chromatin assembly
342	GO:0006335	Nk52_evm1s322	DNA replication-dependent chromatin assembly
343	GO:0006335	Nk52_evm22s559	DNA replication-dependent chromatin assembly
344	GO:0006335	Nk52_evm80s270	DNA replication-dependent chromatin assembly
345	GO:0070192	Nk52_evm10s309	chromosome organization involved in meiotic cell cycle
346	GO:0070192	Nk52_evm12s2133	chromosome organization involved in meiotic cell cycle
347	GO:0070192	Nk52_evm1s589	chromosome organization involved in meiotic cell cycle
348	GO:0070192	Nk52_evm42s296	chromosome organization involved in meiotic cell cycle
349	GO:0070192	Nk52_evm4s2514	chromosome organization involved in meiotic cell cycle
350	GO:0070192	Nk52_evm55s224	chromosome organization involved in meiotic cell cycle
351	GO:0070192	Nk52_evm59s2118	chromosome organization involved in meiotic cell cycle
